w_len,history,val_rmse,val_r2,train_rmse,train_r2
1,<keras.callbacks.History object at 0x7fafe4310a90>,0.3065558075904846,0.5910933017730713,0.20821259915828705,0.839523434638977
1,<keras.callbacks.History object at 0x7fad28964f90>,0.3155737817287445,0.5790644288063049,0.2106965035200119,0.8376089930534363
1,<keras.callbacks.History object at 0x7faf7a9c03d0>,0.2964766323566437,0.6045376062393188,0.17758215963840485,0.8631313443183899
2,<keras.callbacks.History object at 0x7fba68236d90>,0.3197654187679291,0.573473334312439,0.1933988779783249,0.8509408831596375
2,<keras.callbacks.History object at 0x7fae1c5f2690>,0.3085833489894867,0.5883888006210327,0.19879548251628876,0.8467815518379211
2,<keras.callbacks.History object at 0x7fafae6052d0>,0.325232595205307,0.5661808252334595,0.19824258983135223,0.8472076654434204
4,<keras.callbacks.History object at 0x7fba681a7fd0>,0.34790363907814026,0.5359404683113098,0.12323211878538132,0.9050208330154419
4,<keras.callbacks.History object at 0x7fad803a90d0>,0.31233400106430054,0.5833859443664551,0.13608042895793915,0.8951181173324585
4,<keras.callbacks.History object at 0x7fafe5d57e50>,0.28169676661491394,0.6242520809173584,0.07080897688865662,0.9454250931739807
6,<keras.callbacks.History object at 0x7fba201330d0>,0.28239086270332336,0.623326301574707,0.06832266598939896,0.9473413825035095
6,<keras.callbacks.History object at 0x7fad808ba790>,0.3519577085971832,0.5305328965187073,0.09424678236246109,0.9273607730865479
6,<keras.callbacks.History object at 0x7fb0175f6c90>,0.24436834454536438,0.6740435361862183,0.07115302979946136,0.945159912109375
8,<keras.callbacks.History object at 0x7fb940705310>,0.2657964527606964,0.6454610824584961,0.04984017461538315,0.9615864753723145
8,<keras.callbacks.History object at 0x7faced82d7d0>,0.34416475892066956,0.5409276485443115,0.05919608101248741,0.9543755650520325
8,<keras.callbacks.History object at 0x7faf88c04710>,0.35908177495002747,0.5210303068161011,0.10265158116817474,0.9208828806877136
10,<keras.callbacks.History object at 0x7fafac4e0e10>,0.2933274209499359,0.6087383031845093,0.05190173164010048,0.9599975347518921
10,<keras.callbacks.History object at 0x7faf29248050>,0.34238627552986145,0.5432999730110168,0.07931504398584366,0.9388691782951355
10,<keras.callbacks.History object at 0x7fb8e424a450>,0.3082940876483917,0.5887746810913086,0.03486829623579979,0.9731258153915405
12,<keras.callbacks.History object at 0x7fb0175f9c10>,0.3331003785133362,0.5556861758232117,0.07502727955579758,0.9421738982200623
12,<keras.callbacks.History object at 0x7fadc0188250>,0.3331899344921112,0.5555667281150818,0.06445152312517166,0.9503250122070312
12,<keras.callbacks.History object at 0x7fb94067fc10>,0.33139726519584656,0.5579578876495361,0.06910485774278641,0.9467385411262512
14,<keras.callbacks.History object at 0x7faf0bc6a810>,0.3536716401576996,0.5282467007637024,0.07287395000457764,0.943833589553833
14,<keras.callbacks.History object at 0x7fb774b286d0>,0.29840776324272156,0.6019617319107056,0.05000085011124611,0.9614626169204712
14,<keras.callbacks.History object at 0x7fb824773290>,0.368782639503479,0.5080905556678772,0.09316173940896988,0.9281970262527466
16,<keras.callbacks.History object at 0x7faf0b1a5a50>,0.3609766960144043,0.5185027122497559,0.06917612254619598,0.9466835856437683
16,<keras.callbacks.History object at 0x7fb01525ee10>,0.39150336384773254,0.4777839779853821,0.08140972256660461,0.9372547268867493
16,<keras.callbacks.History object at 0x7fb82478f7d0>,0.3511674702167511,0.5315869450569153,0.06246846914291382,0.9518533945083618
18,<keras.callbacks.History object at 0x7fafe4488910>,0.37910526990890503,0.49432146549224854,0.07733947783708572,0.9403917789459229
18,<keras.callbacks.History object at 0x7faf2280b090>,0.3670390844345093,0.5104162693023682,0.07950199395418167,0.9387251138687134
18,<keras.callbacks.History object at 0x7fafe77e2d10>,0.4043644368648529,0.4606289267539978,0.08069191873073578,0.9378079771995544
20,<keras.callbacks.History object at 0x7fafe66bce10>,0.3815639019012451,0.49104195833206177,0.08300010859966278,0.9360289573669434
20,<keras.callbacks.History object at 0x7faf0b19a5d0>,0.31809091567993164,0.5757068991661072,0.08425689488649368,0.9350603222846985
20,<keras.callbacks.History object at 0x7fb8e4278510>,0.32856500148773193,0.5617357492446899,0.07453950494527817,0.9425498843193054
22,<keras.callbacks.History object at 0x7faed9c70610>,0.2968556582927704,0.604032039642334,0.07275769114494324,0.9439231157302856
22,<keras.callbacks.History object at 0x7fafcfdd6790>,0.2926655113697052,0.6096211671829224,0.05944302678108215,0.9541852474212646
22,<keras.callbacks.History object at 0x7fb8242d2a90>,0.2906314730644226,0.6123343706130981,0.0686790943145752,0.9470666646957397
24,<keras.callbacks.History object at 0x7fafe6897790>,0.35477426648139954,0.5267759561538696,0.09566159546375275,0.9262703061103821
24,<keras.callbacks.History object at 0x7faebb681010>,0.3392505645751953,0.5474826097488403,0.07732782512903214,0.9404007792472839
24,<keras.callbacks.History object at 0x7faf88678250>,0.35047322511672974,0.5325130224227905,0.0907357707619667,0.9300668239593506
26,<keras.callbacks.History object at 0x7faf2280a010>,0.2982238531112671,0.6022070646286011,0.07503713667392731,0.9421663284301758
26,<keras.callbacks.History object at 0x7fafcfb26790>,0.34758996963500977,0.5363588929176331,0.08940878510475159,0.9310895800590515
